"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000040380.15",334.212477766408,-5.7785962106343,0.362887575923497,-15.923929597007,4.3234925826038e-57,5.88909576203513e-54
"ENSMUSG00002076957.1",45.1882893230873,-6.36059929399167,0.400107925151172,-15.8972089632777,6.62513302711601e-57,8.6899661539005e-54
"ENSMUSG00000000056.8",270.378779382241,6.05909382418731,0.381523292397455,15.8813208653987,8.53617320832873e-57,1.07967347918915e-53
"ENSMUSG00000029736.16",91.9678320154351,-5.38513652214965,0.340071458153822,-15.835308706542,1.77585471733507e-56,2.1686860280835e-53
"ENSMUSG00000035237.8",324.300381660984,-5.94436365108671,0.376322925472443,-15.7959115661743,3.31959620221793e-56,3.91878331671827e-53
"ENSMUSG00000050550.8",38.7096473177665,-4.09916068856212,0.259786124821225,-15.7789823893905,4.34130725057412e-56,4.9595934283575e-53
"ENSMUSG00000118162.2",108.859977764489,-6.24113673838554,0.395653983464869,-15.7742295015708,4.68075227274585e-56,5.18027630435295e-53
"ENSMUSG00000029310.14",200.70060221901,-6.18741221140154,0.395113893086666,-15.6598194081836,2.84704498251282e-55,3.05539691077853e-52
"ENSMUSG00000085696.9",45.7157214350757,-5.50884257941022,0.352820646517215,-15.6137194174702,5.87121194783397e-55,6.11555797448648e-52
"ENSMUSG00000038227.16",412.193332702853,-6.7518381348305,0.432644103535457,-15.6059867213172,6.62770583104231e-55,6.7062914858961e-52
"ENSMUSG00000054752.17",38.2504454378671,-3.6235579662677,0.232538797630193,-15.5825952623624,9.55935106902541e-55,9.40401161415374e-52
"ENSMUSG00000001288.16",731.377995766458,4.14444832342992,0.266138828543479,15.5725053202932,1.1193563398371e-54,1.0714055344684e-51
"ENSMUSG00000028137.10",143.555826543745,-4.1725767123443,0.268241273720023,-15.5553120311359,1.46439817719385e-54,1.36405650751077e-51
"ENSMUSG00000104299.2",495.210889344244,-4.63856068334671,0.298229089845726,-15.5536828608713,1.50213761945278e-54,1.36405650751077e-51
"ENSMUSG00000092417.4",99.4976057212579,-5.91252571581777,0.383369202391023,-15.422537018994,1.15477289100663e-53,1.022407048375e-50
"ENSMUSG00000090936.3",852.319457730869,-4.31765431215187,0.282034039916649,-15.3089829632901,6.65971605069351e-53,5.75253277891001e-50
"ENSMUSG00000022174.9",83.7694643762905,-5.32922761818869,0.348475514861171,-15.2929758072437,8.51678918796584e-53,7.18147831170976e-50
"ENSMUSG00000040860.17",1401.35557100945,-5.27877157050275,0.349587172400105,-15.1000150670894,1.61896401814356e-51,1.33338629540824e-48
"ENSMUSG00000103781.2",232.196286868378,-6.59863314066521,0.438426946213609,-15.0507015995551,3.41592255255846e-51,2.74942948179222e-48
"ENSMUSG00000051758.7",48.5084357150361,-5.27353148148698,0.353312326836591,-14.9259764829151,2.23341963886545e-50,1.75770125578711e-47
"ENSMUSG00000047153.5",350.985011553237,-6.29393159170864,0.422704236143489,-14.8896818473618,3.84595243229476e-50,2.96096533455911e-47
"ENSMUSG00000061013.7",30.6371122259147,-4.157496864683,0.281052394877534,-14.7926042989052,1.63502977333385e-49,1.23201232814081e-46
"ENSMUSG00000020396.9",371.628951584824,-2.97533101172664,0.201372066936324,-14.7752916131485,2.11440072480702e-49,1.56003128477168e-46
"ENSMUSG00000104647.2",33.9333836114329,-5.12272351566349,0.348054599553746,-14.7181606628142,4.92884764602154e-49,3.56234978334393e-46
"ENSMUSG00000001525.11",165.985451271001,-5.9513101255825,0.404417007829523,-14.7157760686741,5.10571132872e-49,3.61637533413237e-46
"ENSMUSG00000024393.15",3494.36782376191,-4.93286488409241,0.339428281275633,-14.5328635125918,7.50177501586341e-48,5.20932082719221e-45
"ENSMUSG00000034842.17",91.8002248963546,-5.14544632743983,0.355287078808328,-14.4825034017511,1.5629923578931e-47,1.06448796836124e-44
"ENSMUSG00000061607.16",44.8892882836845,-4.21645245103557,0.294498235186981,-14.3174116081154,1.70350644045113e-46,1.13829586016182e-43
"ENSMUSG00000024206.16",80.5685213552411,-2.82708840153285,0.197827068670004,-14.2907056174842,2.50062824219584e-46,1.63999535550677e-43
